geneid	mean_length	median_length	polya_reads_num	count
PH02Gene10244	110.84	98.74	53	76
PH02Gene28324	68.0	63.09	33	53
PH02Gene07735	140.56	147.89	13	18
PH02Gene07545	45.23	45.23	1	2
PH02Gene47301	46.51	43.04	5	6
PH02Gene25017	78.79	71.49	20	28
PH02Gene16101	92.77	79.54	12	15
PH02Gene50043	101.87	96.73	45	64
PH02Gene06265	19.63	19.63	1	2
PH02Gene42334	115.52	126.72	3	3
PH02Gene14205	158.61	158.61	1	1
PH02Gene25943	117.92	115.81	19	24
PH02Gene29693	161.76	161.76	1	1
PH02Gene14623	58.81	76.82	3	3
PH02Gene21027	83.14	91.86	9	11
PH02Gene41491	73.72	76.48	3	3
PH02Gene31053	67.63	61.15	33	39
PH02Gene46406	109.08	109.21	6	7
PH02Gene10289	204.86	212.21	7	10
PH02Gene00855	103.19	80.88	9	13
PH02Gene36305	168.14	159.74	4	6
PH02Gene09724	97.45	97.45	1	1
PH02Gene34830	75.94	75.94	2	3
PH02Gene13259	113.0	113.0	1	1
PH02Gene44219	110.29	103.6	20	22
PH02Gene31678	99.53	104.77	5	5
PH02Gene27219	82.52	70.56	47	68
PH02Gene04824	57.66	57.66	2	4
PH02Gene24639	79.45	69.4	26	37
PH02Gene44802	90.25	90.25	2	2
PH02Gene04601	54.38	48.07	145	201
PH02Gene35620	114.98	111.4	44	64
PH02Gene07012	64.59	62.9	5	9
PH02Gene24079	50.21	50.21	1	3
PH02Gene24303	135.37	135.37	2	2
PH02Gene25643	64.99	73.46	16	21
PH02Gene37078	71.2	63.68	10	11
PH02Gene03120	100.95	114.16	7	8
PH02Gene00377	66.14	53.76	24	33
PH02Gene47650	121.02	102.72	15	21
PH02Gene04576	50.96	58.91	3	3
PH02Gene21840	84.28	84.28	1	1
PH02Gene32274	100.38	57.46	5	6
PH02Gene35405	90.62	90.62	1	1
PH02Gene44215	68.25	66.71	61	78
PH02Gene46495	169.34	207.84	8	13
PH02Gene47372	87.52	78.5	16	22
PH02Gene44133	55.81	55.72	34	50
PH02Gene46242	76.76	62.1	26	37
PH02Gene25162	83.54	81.42	20	29
PH02Gene32021	69.21	53.29	14	17
PH02Gene32061	63.78	56.79	15	18
PH02Gene02003	145.71	119.12	8	8
PH02Gene35162	109.36	98.08	5	5
PH02Gene07508	169.46	169.46	2	6
PH02Gene37282	102.46	83.43	121	167
PH02Gene45299	34.14	34.14	1	4
PH02Gene46017	64.67	71.03	9	12
PH02Gene38503	267.23	267.23	2	2
PH02Gene25336	74.93	74.93	1	2
PH02Gene37769	96.55	96.54	2	2
PH02Gene44520	72.26	72.26	1	2
PH02Gene03412	89.06	93.78	4	4
PH02Gene02250	67.06	73.68	20	24
PH02Gene44090	58.89	48.27	29	44
PH02Gene21456	89.61	76.83	4	5
PH02Gene31860	95.46	93.95	5	7
PH02Gene31319	49.0	49.0	1	1
PH02Gene50539	71.47	71.47	2	5
PH02Gene46463	175.69	175.69	2	4
PH02Gene29254	111.74	102.92	40	47
PH02Gene21089	80.08	72.97	41	53
PH02Gene27473	118.8	100.19	11	21
PH02Gene12584	63.32	58.72	8	15
PH02Gene45085	85.95	69.37	10	13
PH02Gene14492	65.22	58.0	185	258
PH02Gene48484	83.59	83.58	2	2
PH02Gene22718	131.17	131.17	1	1
PH02Gene23686	131.23	106.2	5	9
PH02Gene28866	239.58	239.58	1	1
PH02Gene38882	60.04	57.8	4	4
PH02Gene38996	77.1	77.12	77	112
PH02Gene37802	110.02	102.4	4	4
PH02Gene50913	283.92	283.92	1	1
PH02Gene07207	145.13	142.96	7	9
PH02Gene30445	165.27	170.6	7	11
PH02Gene13322	118.74	116.0	16	18
PH02Gene50005	121.94	121.94	2	2
PH02Gene45218	102.41	78.67	13	19
PH02Gene49475	198.43	198.43	1	1
PH02Gene08282	87.31	79.47	5	8
PH02Gene31027	84.32	80.35	36	50
PH02Gene18383	87.24	76.36	13	15
PH02Gene43485	66.19	67.22	20	25
PH02Gene40312	69.83	66.17	4	7
PH02Gene36797	107.9	110.64	4	6
PH02Gene44928	81.09	95.22	7	11
PH02Gene40829	193.16	193.16	1	1
PH02Gene15716	87.04	87.02	6	9
PH02Gene18055	44.67	44.67	1	1
PH02Gene45253	112.64	116.15	8	9
PH02Gene22160	87.58	87.58	2	2
PH02Gene05175	47.92	47.92	1	1
PH02Gene11413	80.14	93.64	3	3
PH02Gene19592	95.25	92.74	19	23
PH02Gene22030	77.92	77.92	1	1
PH02Gene07738	51.77	51.77	2	2
PH02Gene06889	79.85	58.07	78	114
PH02Gene26010	35.98	35.98	2	4
PH02Gene30708	93.56	93.1	26	34
PH02Gene29895	104.16	103.82	4	8
PH02Gene29576	180.03	180.53	8	12
PH02Gene08008	121.77	140.82	14	21
PH02Gene12116	151.96	126.33	11	11
PH02Gene51005	108.42	108.42	2	2
PH02Gene34811	62.67	79.91	5	6
PH02Gene27038	131.78	142.12	18	19
PH02Gene26543	187.91	187.91	2	2
PH02Gene36454	109.21	104.58	12	13
PH02Gene06744	51.79	60.15	3	5
PH02Gene42183	187.52	191.93	5	5
PH02Gene07091	95.01	59.48	16	24
PH02Gene00934	160.55	171.96	7	7
PH02Gene04640	197.81	204.42	3	5
PH02Gene36070	145.06	126.88	26	37
PH02Gene11100	106.87	108.98	28	46
PH02Gene25510	57.38	61.13	18	29
PH02Gene19405	62.12	54.67	23	31
PH02Gene04031	147.75	156.39	6	7
PH02Gene10190	80.03	74.1	41	50
PH02Gene33699	115.64	106.45	39	59
PH02Gene32577	97.44	94.48	3	5
PH02Gene02267	79.31	87.54	13	19
PH02Gene21821	68.53	66.52	63	80
PH02Gene35631	100.1	97.62	6	7
PH02Gene18517	94.56	79.08	38	48
PH02Gene23764	166.04	157.56	11	15
PH02Gene41963	91.21	93.04	9	9
PH02Gene34814	81.56	71.52	5	9
PH02Gene38659	111.55	89.94	10	15
PH02Gene40378	97.74	97.74	2	3
PH02Gene21511	71.21	62.89	61	84
PH02Gene05124	89.97	87.46	52	68
PH02Gene17088	140.67	140.67	1	2
PH02Gene27910	146.68	138.58	54	75
PH02Gene01974	64.57	60.0	10	12
PH02Gene21211	65.16	65.16	2	2
PH02Gene00697	134.48	124.18	5	8
PH02Gene41879	131.56	131.56	2	5
PH02Gene19222	53.82	49.0	105	150
PH02Gene03527	88.55	73.48	24	35
PH02Gene44217	74.34	64.32	3	4
PH02Gene29929	73.95	64.0	5	6
PH02Gene39466	121.9	103.52	28	44
PH02Gene29393	113.77	123.58	7	8
PH02Gene38250	152.75	108.97	4	5
PH02Gene39158	127.36	127.36	1	1
PH02Gene14884	110.95	100.5	58	94
PH02Gene15474	92.2	71.84	30	51
PH02Gene03911	63.72	53.42	68	103
PH02Gene14895	102.28	101.45	17	23
PH02Gene24552	103.61	108.69	21	25
PH02Gene28942	96.14	79.96	27	32
PH02Gene02559	109.9	121.06	29	40
PH02Gene31211	79.02	59.87	11	20
PH02Gene21815	120.1	116.7	6	11
PH02Gene08328	186.7	186.28	4	8
PH02Gene13860	132.57	132.57	2	2
PH02Gene01389	80.11	77.5	25	29
PH02Gene13429	88.91	100.68	18	22
PH02Gene42285	238.16	238.16	1	1
PH02Gene18966	69.65	53.81	18	21
PH02Gene27378	122.32	124.94	24	32
PH02Gene39538	151.79	121.84	6	7
PH02Gene00622	78.17	78.18	2	2
PH02Gene39086	97.56	85.43	48	67
PH02Gene22390	85.57	80.83	3	3
PH02Gene28154	70.68	70.68	1	1
PH02Gene01948	199.76	199.76	1	2
PH02Gene09576	79.88	68.65	91	117
PH02Gene02836	69.55	61.93	197	284
PH02Gene48472	85.35	79.62	30	39
PH02Gene42813	55.12	47.24	20	24
PH02Gene50171	87.41	88.59	129	179
PH02Gene01137	88.85	94.17	9	11
PH02Gene40691	87.04	70.26	14	24
PH02Gene41176	69.57	64.2	10	11
PH02Gene07151	79.33	73.12	48	65
PH02Gene03830	180.41	180.41	1	1
PH02Gene07982	69.31	62.83	59	75
PH02Gene01664	131.22	131.22	2	3
PH02Gene06827	89.77	89.55	41	66
PH02Gene27468	188.98	107.32	3	4
PH02Gene16932	87.95	87.83	11	16
PH02Gene01502	97.33	97.33	1	3
PH02Gene15579	75.67	80.26	17	20
PH02Gene17390	75.98	58.94	35	40
PH02Gene29950	54.35	51.22	484	651
PH02Gene04254	70.72	46.6	20	28
PH02Gene22121	106.3	126.36	10	15
PH02Gene25258	86.06	75.33	27	41
PH02Gene48558	106.53	102.96	4	5
PH02Gene24198	164.41	164.41	2	3
PH02Gene18528	121.54	115.07	10	12
PH02Gene20422	75.68	75.9	27	37
PH02Gene02296	86.4	86.4	2	4
PH02Gene08219	84.44	82.74	4	8
PH02Gene48476	42.48	43.26	6	7
PH02Gene13950	126.12	122.24	4	4
PH02Gene44070	81.72	61.76	56	90
PH02Gene09249	248.0	248.0	1	1
PH02Gene25728	86.65	69.0	29	46
PH02Gene16347	100.32	100.32	1	1
PH02Gene00577	134.07	139.9	12	19
PH02Gene19509	144.47	135.62	17	30
PH02Gene11045	179.56	193.23	4	6
PH02Gene03088	101.3	90.48	24	39
PH02Gene16619	127.32	117.26	10	11
PH02Gene35344	101.09	94.34	28	38
PH02Gene35452	83.42	70.79	4	4
PH02Gene12852	44.48	44.48	1	5
PH02Gene09954	59.22	59.22	1	1
PH02Gene38891	84.13	102.78	3	4
PH02Gene49797	67.05	65.5	25	41
PH02Gene34456	68.14	64.29	381	497
PH02Gene29755	148.19	148.18	2	2
PH02Gene12682	175.66	175.66	2	2
