gene_id	phe_2B	phe_2M	phe_4B	phe_4M
PH02Gene00077	45.87256464879808	52.29139650230115	44.79592687637183	34.337807632784006
PH02Gene00078	0.0	0.0	0.0	0.0
PH02Gene00079	4.129971087297599	2.71147946667784	1.7365767935401069	0.0
PH02Gene00080	32.70076339687519	29.80124439526085	28.307310786702285	18.441635693907585
PH02Gene00081	11.473063111196174	13.847184494889165	14.577680229320402	43.59583079326159
PH02Gene00082	98.16163503940429	89.07348432611478	99.62386411532462	90.62360164000354
PH02Gene00083	1040.0575138385695	1019.187315620808	1016.7133896834292	909.710196157154
PH02Gene00084	553.6813111524561	562.0053208835985	625.2380288778145	667.9832234061877
PH02Gene00085	0.0	0.0	0.0	0.0
PH02Gene00086	0.0	0.0	0.0	0.0
PH02Gene00087	533.4898518033629	618.733941946494	535.1633120977133	553.7456815859458
PH02Gene00088	0.0	0.0	0.0	0.0
