geneid	mean_length	median_length	polya_reads_num	count
PH02Gene43669	132.4	106.46	9	12
PH02Gene11791	106.83	102.21	34	49
PH02Gene06762	65.27	58.52	23	29
PH02Gene43415	133.49	129.85	3	5
PH02Gene01071	117.17	107.74	76	97
PH02Gene24225	58.36	41.06	7	9
PH02Gene04974	113.8	89.24	6	8
PH02Gene01599	91.41	85.9	14	17
PH02Gene12300	168.86	181.58	7	7
PH02Gene07490	181.84	179.81	3	5
PH02Gene34435	102.51	126.87	19	25
PH02Gene47758	81.12	86.1	4	7
PH02Gene26706	83.45	104.46	3	4
PH02Gene10451	68.33	68.33	1	1
PH02Gene40801	88.05	88.05	1	1
PH02Gene19502	108.51	105.47	20	26
PH02Gene27435	234.91	264.44	10	14
PH02Gene42584	83.85	75.84	32	37
PH02Gene18177	69.74	71.12	6	8
PH02Gene37007	109.92	109.8	44	55
PH02Gene16918	134.2	140.43	9	14
PH02Gene09016	80.85	82.4	8	10
PH02Gene27821	58.42	47.87	42	49
PH02Gene04005	155.87	155.86	2	2
PH02Gene14294	72.33	62.98	30	45
PH02Gene38607	96.52	85.59	27	40
PH02Gene04472	138.42	138.2	20	30
PH02Gene33075	57.97	47.12	10	11
PH02Gene02110	94.62	113.76	5	8
PH02Gene06086	80.61	62.94	4	5
PH02Gene38974	133.23	126.3	5	5
PH02Gene14392	78.12	74.81	17	20
PH02Gene11547	67.48	67.48	1	2
PH02Gene50338	71.84	58.6	32	47
PH02Gene28437	92.36	84.4	6	9
PH02Gene05574	97.02	97.02	2	4
PH02Gene34803	66.84	60.26	8	14
PH02Gene10263	130.23	121.66	4	4
PH02Gene00694	83.04	79.78	24	33
PH02Gene24530	130.24	130.24	2	4
PH02Gene24209	47.92	47.92	2	2
PH02Gene02267	55.78	55.78	2	2
PH02Gene27260	99.2	86.0	11	12
PH02Gene18510	75.79	70.57	95	127
PH02Gene07422	70.28	79.41	33	50
PH02Gene00642	80.71	91.0	10	18
PH02Gene05364	127.23	109.43	25	32
PH02Gene04021	85.02	74.09	10	11
PH02Gene33616	55.5	51.06	12	18
PH02Gene39376	209.26	209.26	1	1
PH02Gene32839	203.42	203.42	1	2
PH02Gene09932	63.94	52.87	27	36
PH02Gene37365	81.28	67.7	22	27
PH02Gene43804	169.67	176.82	8	10
PH02Gene18796	60.31	60.31	1	1
PH02Gene33498	148.21	148.21	1	1
PH02Gene01954	69.96	65.89	23	33
PH02Gene15993	78.41	88.74	4	6
PH02Gene25562	101.09	62.5	13	16
PH02Gene15755	132.57	119.18	38	50
PH02Gene32830	68.52	68.52	2	2
PH02Gene15780	89.2	78.0	26	37
PH02Gene09297	57.92	57.92	2	4
PH02Gene34856	43.48	43.48	1	1
PH02Gene28847	78.68	78.37	64	82
PH02Gene37536	69.79	80.86	3	4
PH02Gene07603	160.53	149.63	9	14
PH02Gene35038	119.8	118.38	4	7
PH02Gene36282	99.78	65.0	15	23
PH02Gene15196	79.78	57.15	23	25
PH02Gene48564	135.18	124.19	12	14
PH02Gene27459	139.64	139.64	2	3
PH02Gene11884	107.43	112.12	9	12
PH02Gene45385	166.27	166.27	1	1
PH02Gene41802	97.84	97.84	1	3
PH02Gene34792	71.1	66.89	50	67
PH02Gene21785	78.77	38.43	6	8
PH02Gene05366	103.49	96.23	3	4
PH02Gene46250	98.11	98.02	40	45
PH02Gene18052	103.47	96.0	369	506
PH02Gene45950	86.18	58.23	19	21
PH02Gene14911	111.46	116.43	5	6
PH02Gene22828	63.45	63.46	2	4
PH02Gene26322	145.25	145.25	1	1
PH02Gene30125	78.57	73.57	193	250
PH02Gene03482	71.25	74.56	8	10
PH02Gene12686	74.91	74.9	2	2
PH02Gene00485	94.6	78.96	53	78
PH02Gene20345	162.43	162.43	1	1
PH02Gene05888	90.42	90.42	2	2
PH02Gene11000	91.45	91.69	12	15
PH02Gene32787	76.17	75.73	10	13
PH02Gene30636	159.96	159.96	1	3
PH02Gene18376	57.04	49.92	9	11
PH02Gene10465	93.59	93.24	22	29
PH02Gene27698	88.07	91.28	5	5
PH02Gene06427	74.48	72.54	11	14
PH02Gene44183	87.51	94.59	37	48
PH02Gene37835	93.37	89.36	52	66
PH02Gene08865	100.87	103.72	20	33
PH02Gene31088	108.32	96.15	31	39
PH02Gene34195	82.69	99.19	7	9
PH02Gene17948	38.9	41.24	4	4
PH02Gene45568	109.3	104.46	5	7
PH02Gene48148	128.02	128.02	2	2
PH02Gene27514	210.36	204.08	5	6
PH02Gene35830	48.7	38.83	5	6
PH02Gene13464	74.72	78.03	29	32
PH02Gene42025	122.47	122.46	2	2
PH02Gene23522	148.36	148.36	1	1
PH02Gene10418	87.22	79.67	16	19
PH02Gene01549	62.63	62.64	2	3
PH02Gene49720	37.45	29.46	3	3
PH02Gene12206	91.17	78.93	13	15
PH02Gene43907	81.28	50.71	3	4
PH02Gene08307	145.34	174.5	10	12
PH02Gene40397	81.01	76.43	22	36
PH02Gene16968	63.98	60.21	50	68
PH02Gene03377	150.51	169.72	6	11
PH02Gene40170	87.25	78.18	50	67
PH02Gene32039	70.39	48.7	16	23
PH02Gene14788	78.77	62.88	34	47
PH02Gene32747	74.81	74.81	1	2
PH02Gene26819	66.35	33.74	22	31
PH02Gene47188	83.29	50.46	3	3
PH02Gene11382	69.74	70.12	9	11
PH02Gene18014	85.92	73.04	49	64
PH02Gene37798	162.05	182.11	7	7
PH02Gene12976	79.8	50.75	3	5
PH02Gene14802	102.59	103.18	22	33
PH02Gene05586	50.76	48.68	27	35
PH02Gene21700	106.33	93.13	9	10
PH02Gene20266	84.13	72.2	5	5
PH02Gene36582	61.19	54.45	92	177
PH02Gene50152	56.06	53.2	59	76
PH02Gene05720	200.77	196.08	5	6
PH02Gene14153	68.01	56.75	103	136
PH02Gene37766	78.41	82.44	8	9
PH02Gene09436	112.88	112.88	1	1
PH02Gene45762	118.83	114.93	10	14
PH02Gene20034	68.34	68.34	2	2
PH02Gene40050	100.75	99.65	9	17
PH02Gene38888	80.79	76.34	4	7
PH02Gene23656	91.25	81.83	4	6
PH02Gene45119	192.3	192.3	2	4
PH02Gene04907	120.31	120.67	3	3
PH02Gene39091	106.42	101.46	6	7
PH02Gene09243	70.82	61.18	236	319
PH02Gene20448	93.32	74.1	34	45
PH02Gene16591	153.94	173.12	7	9
PH02Gene05264	146.8	139.77	5	9
PH02Gene10305	82.07	69.68	5	6
PH02Gene26759	119.69	119.69	2	5
PH02Gene45437	83.86	80.57	115	157
PH02Gene29535	81.91	65.96	25	31
PH02Gene10057	80.13	70.18	12	15
PH02Gene05623	66.44	49.21	7	7
PH02Gene10931	95.37	95.37	1	1
PH02Gene25340	64.61	64.58	4	6
PH02Gene04782	73.98	41.71	19	27
PH02Gene15611	101.29	112.33	21	28
PH02Gene22284	159.04	148.96	13	18
PH02Gene04252	60.78	56.04	79	111
PH02Gene48295	86.86	86.86	2	2
PH02Gene45677	90.98	18.58	3	9
PH02Gene18487	101.21	101.21	1	2
PH02Gene03819	97.79	92.96	5	6
PH02Gene46737	159.43	159.43	1	1
PH02Gene20762	85.55	62.73	150	200
PH02Gene14070	93.66	89.3	40	66
PH02Gene22024	121.95	121.95	1	1
PH02Gene47148	80.63	67.38	94	127
PH02Gene24201	76.77	72.54	76	106
PH02Gene10866	94.23	99.5	6	9
PH02Gene17188	118.47	125.27	3	4
PH02Gene07743	149.57	149.57	2	3
PH02Gene35043	66.84	65.68	37	52
PH02Gene00803	88.77	91.25	9	11
PH02Gene12429	106.62	106.62	1	1
PH02Gene32444	259.64	259.64	1	1
PH02Gene04469	144.66	161.83	8	10
PH02Gene13539	68.93	52.32	31	44
PH02Gene22253	75.9	65.96	306	417
PH02Gene35569	62.58	49.62	6	6
PH02Gene15874	39.66	43.66	7	7
PH02Gene05457	59.9	46.92	22	27
PH02Gene03875	70.09	63.83	24	28
PH02Gene17058	44.55	44.56	2	2
PH02Gene31260	55.22	59.08	61	72
PH02Gene31125	87.73	89.86	6	7
PH02Gene19928	149.54	174.08	15	17
PH02Gene39019	99.65	72.71	15	20
PH02Gene14641	31.63	30.0	3	4
PH02Gene02467	76.74	79.63	14	15
PH02Gene17628	188.52	188.52	1	1
PH02Gene32782	39.11	37.4	6	6
PH02Gene22431	64.29	64.29	2	4
PH02Gene19997	130.61	87.2	5	8
PH02Gene42204	88.09	82.06	22	31
PH02Gene42087	143.61	143.61	1	1
PH02Gene42826	107.83	68.26	11	13
PH02Gene07685	285.12	289.14	5	6
PH02Gene21050	85.58	61.45	3	4
PH02Gene23876	73.48	73.07	27	35
PH02Gene45044	89.17	78.94	24	30
PH02Gene38648	81.2	86.79	6	6
PH02Gene13608	122.56	122.56	1	1
PH02Gene19770	71.77	64.56	130	160
PH02Gene16124	78.56	75.55	12	24
PH02Gene12272	107.52	114.16	17	27
PH02Gene01094	81.61	84.4	18	23
PH02Gene11024	52.99	44.14	704	903
PH02Gene09041	76.73	51.04	14	20
PH02Gene00320	58.23	46.7	6	8
PH02Gene41643	94.59	91.26	20	26
PH02Gene17132	85.59	74.62	18	24
PH02Gene46936	147.93	138.27	4	8
PH02Gene12959	179.22	179.22	1	2
PH02Gene43431	40.87	40.87	1	2
PH02Gene36435	113.58	129.0	7	9
PH02Gene11296	66.94	66.94	2	3
PH02Gene36671	88.75	89.92	5	6
PH02Gene26276	81.48	61.12	4	7
PH02Gene17496	33.04	33.04	1	2
PH02Gene07577	133.83	109.35	9	15
PH02Gene36446	95.55	51.14	11	12
PH02Gene20996	67.08	64.41	9	9
PH02Gene12505	103.13	64.94	16	31
PH02Gene04712	113.29	89.65	23	30
PH02Gene23224	62.31	55.46	97	134
PH02Gene45424	82.21	73.19	77	111
PH02Gene17263	150.19	141.81	3	3
PH02Gene47538	63.19	57.86	17	21
PH02Gene31393	151.17	151.17	1	1
PH02Gene48080	78.07	73.76	46	65
PH02Gene00865	80.92	81.63	19	24
PH02Gene44583	80.05	66.37	54	73
PH02Gene46051	59.16	59.16	1	1
PH02Gene18709	140.41	134.76	3	3
PH02Gene05645	80.86	66.57	60	81
PH02Gene43815	39.55	39.54	2	4
PH02Gene10012	94.79	79.16	41	56
PH02Gene01147	108.96	87.98	6	9
PH02Gene05956	113.13	109.2	12	13
PH02Gene23246	109.14	76.23	7	10
PH02Gene49395	58.21	58.21	1	1
PH02Gene02245	98.11	108.08	6	7
PH02Gene14015	194.39	194.39	2	3
PH02Gene37247	115.56	105.54	20	22
PH02Gene28774	89.05	86.49	6	8
PH02Gene06446	92.78	92.78	2	4
PH02Gene21529	82.93	85.67	3	3
PH02Gene44712	23.1	23.1	1	1
PH02Gene08319	71.47	62.21	45	60
PH02Gene36533	65.66	50.11	207	270
PH02Gene45962	110.98	118.58	5	5
PH02Gene25556	66.77	67.37	19	24
PH02Gene09715	100.87	90.2	20	26
PH02Gene16456	112.78	112.78	1	1
PH02Gene32249	126.33	126.33	1	1
PH02Gene20357	119.88	112.93	14	19
PH02Gene33170	42.72	38.0	3	5
PH02Gene35856	102.97	83.04	15	17
PH02Gene37652	67.17	67.17	1	1
PH02Gene05544	189.46	204.96	4	6
PH02Gene45161	58.92	58.92	1	1
PH02Gene24814	89.23	101.31	15	21
PH02Gene22839	77.32	81.71	8	16
PH02Gene40921	170.46	143.58	12	17
PH02Gene13406	62.63	53.56	44	54
PH02Gene09989	93.91	79.27	13	18
PH02Gene41274	137.04	129.46	5	5
PH02Gene05289	188.28	188.28	1	1
PH02Gene24175	52.47	52.47	1	1
PH02Gene01264	60.88	59.2	8	9
PH02Gene05942	3.88	3.88	1	1
PH02Gene17504	161.14	161.14	1	1
PH02Gene36763	66.24	54.92	9	14
PH02Gene46975	57.29	53.22	37	42
PH02Gene14230	82.39	68.85	23	25
PH02Gene07967	51.35	42.88	20	27
PH02Gene23900	139.62	139.62	2	2
PH02Gene19805	245.06	245.06	1	1
PH02Gene35417	145.82	154.43	5	7
PH02Gene11575	57.54	57.54	1	1
PH02Gene19432	80.08	80.62	26	34
PH02Gene40805	59.71	48.07	11	15
PH02Gene24212	97.08	97.08	1	1
PH02Gene12444	70.58	66.6	2954	3915
PH02Gene34419	89.83	86.04	20	30
PH02Gene23303	74.19	69.52	450	620
